,time_index,values,outlier,series_id,outlier_2,good,sum
115,2017-04-26,34.115177,0,1,0,0,281
116,2017-04-27,35.99752,0,1,0,0,281
117,2017-04-28,42.162548,0,1,0,0,281
118,2017-04-29,40.22085,0,1,0,0,281
119,2017-04-30,37.758663,0,1,0,0,281
120,2017-05-01,39.279736,0,1,0,0,281
121,2017-05-02,37.220932,0,1,0,0,281
122,2017-05-03,39.01019,0,1,0,0,281
123,2017-05-04,40.374657,0,1,0,0,281
124,2017-05-05,41.040573,0,1,0,0,281
125,2017-05-06,35.399082,0,1,0,0,281
126,2017-05-07,28.845266,0,1,0,0,281
127,2017-05-08,34.006527,0,1,0,0,281
128,2017-05-09,34.709343,0,1,0,0,281
129,2017-05-10,32.151672,0,1,0,0,281
130,2017-05-11,34.014824,0,1,0,0,281
131,2017-05-12,34.729256,0,1,0,0,281
132,2017-05-13,28.383945,0,1,0,0,281
133,2017-05-14,25.470642,0,1,0,0,281
134,2017-05-15,26.437164,0,1,0,0,281
135,2017-05-16,26.710592,0,1,0,0,281
136,2017-05-17,25.629326,0,1,0,0,281
137,2017-05-18,30.428896,0,1,0,0,281
138,2017-05-19,32.439213,0,1,0,0,281
139,2017-05-20,27.749693,0,1,0,0,281
140,2017-05-21,29.386133,0,1,0,0,281
141,2017-05-22,38.48748,0,1,0,0,281
142,2017-05-23,40.150555,0,1,0,0,281
143,2017-05-24,40.38061,0,1,0,0,281
144,2017-05-25,41.660885,0,1,0,0,281
145,2017-05-26,44.081196,0,1,0,0,281
146,2017-05-27,37.913887,0,1,0,0,281
147,2017-05-28,35.484543,0,1,0,0,281
148,2017-05-29,40.15691,0,1,0,0,281
149,2017-05-30,39.9642,0,1,0,0,281
150,2017-05-31,37.962902,0,1,0,0,281
151,2017-06-01,33.5025,0,1,0,0,281
152,2017-06-02,27.992573,0,1,0,0,281
153,2017-06-03,19.528128,0,1,0,0,281
154,2017-06-04,19.456438,0,1,0,0,281
155,2017-06-05,33.58256,0,1,0,0,281
156,2017-06-06,43.11585,0,1,0,0,281
157,2017-06-07,47.76152,0,1,0,0,281
158,2017-06-08,48.49607,0,1,0,0,281
159,2017-06-09,46.122684,0,1,0,0,281
160,2017-06-10,36.948364,0,1,0,0,281
161,2017-06-11,34.64641,0,1,0,0,281
162,2017-06-12,41.911217,0,1,0,0,281
163,2017-06-13,44.25005,0,1,0,0,281
164,2017-06-14,41.269802,0,1,0,0,281
165,2017-06-15,41.634968,0,1,0,0,281
166,2017-06-16,39.24603,0,1,0,0,281
167,2017-06-17,36.554264,0,1,0,0,281
168,2017-06-18,36.702675,0,1,0,0,281
169,2017-06-19,42.98521,0,1,0,0,281
170,2017-06-20,46.507736,0,1,0,0,281
171,2017-06-21,43.77335,0,1,0,0,281
172,2017-06-22,40.693356,0,1,0,0,281
173,2017-06-23,42.431244,0,1,0,0,281
174,2017-06-24,37.431084,0,1,0,0,281
175,2017-06-25,38.02266,0,1,0,0,281
176,2017-06-26,39.383846,0,1,0,0,281
177,2017-06-27,36.939976,0,1,0,0,281
178,2017-06-28,34.89145,0,1,0,0,281
179,2017-06-29,29.064959,0,1,0,0,281
180,2017-06-30,30.233452,0,1,0,0,281
181,2017-07-01,29.539576,0,1,0,0,281
182,2017-07-02,33.199818,0,1,0,0,281
183,2017-07-03,40.0001,0,1,0,0,281
184,2017-07-04,37.506405,0,1,0,0,281
185,2017-07-05,40.585247,0,1,0,0,281
186,2017-07-06,42.17914,0,1,0,0,281
187,2017-07-07,48.858364,0,1,0,0,281
188,2017-07-08,41.36078,0,1,0,0,281
189,2017-07-09,39.854416,0,1,0,0,281
190,2017-07-10,41.97723,0,1,0,0,281
191,2017-07-11,41.352528,0,1,0,0,281
192,2017-07-12,38.330704,0,1,0,0,281
193,2017-07-13,38.91096,0,1,0,0,281
194,2017-07-14,38.950047,0,1,0,0,281
195,2017-07-15,36.865322,0,1,0,0,281
196,2017-07-16,40.251984,0,1,0,0,281
197,2017-07-17,45.09102,0,1,0,0,281
198,2017-07-18,45.392693,0,1,0,0,281
199,2017-07-19,47.347538,0,1,0,0,281
200,2017-07-20,48.317505,0,1,0,0,281
201,2017-07-21,50.99644,0,1,0,0,281
202,2017-07-22,38.76572,0,1,0,0,281
203,2017-07-23,31.231083,0,1,0,0,281
204,2017-07-24,29.143288,0,1,0,0,281
205,2017-07-25,28.413046,0,1,0,0,281
206,2017-07-26,30.99456,0,1,0,0,281
207,2017-07-27,30.625906,0,1,0,0,281
208,2017-07-28,32.023396,0,1,0,0,281
209,2017-07-29,34.23597,0,1,0,0,281
210,2017-07-30,37.03151,0,1,0,0,281
211,2017-07-31,45.401608,0,1,0,0,281
212,2017-08-01,42.31491,0,1,0,0,281
213,2017-08-02,40.573696,0,1,0,0,281
214,2017-08-03,40.16986,0,1,0,0,281
215,2017-08-04,43.988346,0,1,0,0,281
216,2017-08-05,37.412067,0,1,0,0,281
217,2017-08-06,38.067596,0,1,0,0,281
218,2017-08-07,40.96039,0,1,0,0,281
219,2017-08-08,40.250233,0,1,0,0,281
220,2017-08-09,40.565975,0,1,0,0,281
221,2017-08-10,33.617958,0,1,0,0,281
222,2017-08-11,31.662142,0,1,0,0,281
223,2017-08-12,29.23023,0,1,0,0,281
